"","catalogNumber","verbatimLatitude","verbatimLongitude","verbatimCoordinates","verbatimSRS","decimalLongitude","decimalLatitude"
"124","GC124",4046706.52,494644.47,"19F 494644,47  4046706,52","WGS84",-69.0811743235585,-53.7282779237919
"125","GC125",4047306.94,495560.42,"19F 495560,42  4047306,94","WGS84",-69.0672825703624,-53.7228897534995
"126","GC126",4047118.08,495559.58,"19F 495559,58  4047118,08","WGS84",-69.0672980109375,-53.7245872818671
"127","GC127",4047238.73,497848.75,"19F 497848,75  4047238,73","WGS84",-69.0326030338006,-53.7235173010869
"128","GC128",4047216.6,497974.81,"19F 497974,81  4047216,6","WGS84",-69.030692690426,-53.7237167174358
"129","GC129",4047233.25,498085.19,"19F 498085,19  4047233,25","WGS84",-69.0290197277206,-53.7235674784815
"130","GC130",4048802.25,492462.02,"19F 492462,02  4048802,25","WGS84",-69.1142028431122,-53.7094138534348
"131","GC131",4049098.58,492484.04,"19F 492484,04  4049098,58","WGS84",-69.1138620425994,-53.7067506563096
"132","GC132",4049055.13,492528,"19F 492528  4049055,13","WGS84",-69.1131971259942,-53.7071418307831
"133","GC133",4049040.52,492604.2,"19F 492604,2  4049040,52","WGS84",-69.11204308476,-53.7072742355358
"134","GC134",4049021.91,492626.69,"19F 492626,69  4049021,91","WGS84",-69.1117028149852,-53.707441826699
"135","GC135",4049029.03,492657.67,"19F 492657,67  4049029,03","WGS84",-69.1112333120735,-53.7073782663528
"136","GC136",4048994.11,492701.01,"19F 492701,01  4048994,11","WGS84",-69.1105775529768,-53.7076927469961
"137","GC137",4048983.94,492728.63,"19F 492728,63  4048983,94","WGS84",-69.110159357709,-53.7077845438727
"138","GC138",4048945.74,492783.28,"19F 492783,28  4048945,74","WGS84",-69.109332316229,-53.7081286568583
"139","GC139",4048916.19,492837.11,"19F 492837,11  4048916,19","WGS84",-69.1085174841585,-53.7083950037247
"140","GC140",4048886.62,492868.95,"19F 492868,95  4048886,62","WGS84",-69.1080357912845,-53.7086612248762
"141","GC141",4048860.58,492911.44,"19F 492911,44  4048860,58","WGS84",-69.1073926627537,-53.7088958599697
"142","GC142",4048904.9,492466.73,"19F 492466,73  4048904,9","WGS84",-69.1141289883457,-53.7084912685231
"143","GC143",4048873.38,492623.23,"19F 492623,23  4048873,38","WGS84",-69.1117587702058,-53.7087768159736
"144","GC144",4048812.1,492698.51,"19F 492698,51  4048812,1","WGS84",-69.1106197181078,-53.7093286797703
"145","GC145",4056390.03,460058.52,"19F 460058,52  4056390,03","WGS84",-69.6041319756527,-53.639741978199
"146","GC146",4056360.04,460057.46,"19F 460057,46  4056360,04","WGS84",-69.6041518593796,-53.6400114462223
"147","GC147",4056233.2,460068.15,"19F 460068,15  4056233,2","WGS84",-69.6040064643796,-53.6411522947829
"148","GC148",4056165.93,460086.76,"19F 460086,76  4056165,93","WGS84",-69.6037336222417,-53.641758334492
"149","GC149",4056084.98,460070.76,"19F 460070,76  4056084,98","WGS84",-69.6039860205673,-53.6424846890002
"150","GC150",4055943.06,459984.07,"19F 459984,07  4055943,06","WGS84",-69.6053155130846,-53.6437536372158
"151","GC151",4055810.65,459916.76,"19F 459916,76  4055810,65","WGS84",-69.6063507101447,-53.64493857979
"152","GC152",4055558.82,460118.32,"19F 460118,32  4055558,82","WGS84",-69.6033341468048,-53.6472174178411
"153","GC153",4055446.75,460055.62,"19F 460055,62  4055446,75","WGS84",-69.6042970219902,-53.6482199139338
"154","GC154",4068351.15,489583.37,"19F 489583,37  4068351,15","WGS84",-69.1571610980627,-53.5336499575236
"155","GC155",4068288.18,489620.51,"19F 489620,51  4068288,18","WGS84",-69.1566028382464,-53.5342167039393
"156","GC156",4068182.13,489737.29,"19F 489737,29  4068182,13","WGS84",-69.1548443790193,-53.5351722378708
"157","GC157",4068301.04,489572.39,"19F 489572,39  4068301,04","WGS84",-69.1573284278622,-53.5341001577692
"158","GC158",4067769.95,490150.21,"19F 490150,21  4067769,95","WGS84",-69.1486272152314,-53.538885057645
"159","GC159",4068022.96,480889.23,"19F 480889,23  4068022,96","WGS84",-69.2883527277226,-53.5363555662847
"160","GC160",4067989.32,480976.07,"19F 480976,07  4067989,32","WGS84",-69.2870445061314,-53.5366610916969
"161","GC161",4067656.57,481152.3,"19F 481152,3  4067656,57","WGS84",-69.2844055214332,-53.5396583689371
"162","GC162",4067641.21,481175.19,"19F 481175,19  4067641,21","WGS84",-69.2840610478008,-53.5397972532118
"163","GC163",4067624.26,481185.19,"19F 481185,19  4067624,26","WGS84",-69.2839111719904,-53.5399499666194
"164","GC164",4067586.62,481201.73,"19F 481201,73  4067586,62","WGS84",-69.2836638521369,-53.5402888860297
"165","GC165",4067556.29,481191.17,"19F 481191,17  4067556,29","WGS84",-69.2838250226747,-53.5405611291794
"166","GC166",4054358.75,511526.79,"19F 511526,79  4054358,75","WGS84",-68.8255721484322,-53.659397238918
"167","GC167",4058510.52,515088.62,"19F 515088,62  4058510,52","WGS84",-68.7718750161574,-53.621988881707
"168","GC168",4057585.49,515287.28,"19F 515287,28  4057585,49","WGS84",-68.768826066761,-53.6302976667917
"169","GC169",4057434.6,515105.29,"19F 515105,29  4057434,6","WGS84",-68.7715707665898,-53.6316592095942
"170","GC170",4055826.65,513155.15,"19F 513155,15  4055826,65","WGS84",-68.8009934688512,-53.6461647592616
"171","GC171",4040055.98,509259.92,"19F 509259,92  4040055,98","WGS84",-68.8594471481842,-53.7879999746869
"172","GC172",4053996.86,477728.32,"19F 477728,32  4053996,86","WGS84",-69.3370472912891,-53.6623027858384
"173","GC173",4054021.69,477750.78,"19F 477750,78  4054021,69","WGS84",-69.3367056217347,-53.6620805632151
"174","GC174",4054038.96,477808.16,"19F 477808,16  4054038,96","WGS84",-69.3358360515405,-53.6619277740923
"175","GC175",4053997.21,477999.8,"19F 477999,8  4053997,21","WGS84",-69.3329389150324,-53.6623111325525
"176","GC176",4050176.15,448988.92,"19F 448988,92  4050176,15","WGS84",-69.7725704036567,-53.6946279640583
"177","GC177",4050278.67,448930.05,"19F 448930,05  4050278,67","WGS84",-69.7734450190133,-53.6937008065452
