,Unnamed: 0,decimalLongitude,decimalLatitude,verbatimSRS,geodeticDatum,continent,country,countryCode,stateProvince,county,municipality,verbatimCoordinates,verbatimCoordinateSystem,dynamicProperties,coordinateUncertaintyInMeters,coordinatePrecision,georeferencedDate,georeferenceProtocol 
37,38,-69.8399192,-18.9998426,unknown,datum not recorded,,Chile,CL,Tarapacá,Tamarugal,Huara,-18.9998425625031 -69.8399191954226,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:13.210Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
38,39,-69.8225995,-19.0055504,unknown,datum not recorded,,Chile,CL,Tarapacá,Tamarugal,Huara,-19.0055504008899 -69.8225995276227,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:13.866Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
39,40,-70.1447547,-18.8181312,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Camarones,-18.8181312496503 -70.1447546967324,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:14.657Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
40,41,-69.7498632,-18.833467,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Camarones,-18.8334669523199 -69.749863202549,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:15.345Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
41,42,-69.8554301,-19.004787,unknown,datum not recorded,,Chile,CL,Tarapacá,Tamarugal,Huara,-19.0047869625299 -69.8554300588664,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:16.109Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
42,43,-70.1149311,-18.5575603,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5575602754994 -70.1149311352515,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:16.922Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
43,44,-70.1318225,-18.5456849,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.545684912142 -70.1318225419132,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:17.738Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
44,45,-70.1630434,-18.5363592,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5363591698713 -70.1630434022352,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:18.553Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
45,46,-70.2530158,-18.5080059,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5080059219278 -70.2530157866219,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:19.358Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
46,47,-70.0616225,-18.5756251,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5756250882784 -70.0616225027492,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:20.170Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
