"","ID","kingdom","class","family","acceptedNameUsage","infraspecificEpithet","vernacularName","establishmentMeans","CATEGORÍA.DE.CONSERVACIÓN","basisOfRecord","institution","recordedBy","year","month","day","locality","locationRemarks","county","stateProvince","municipality","PRECISIÓN.DATO","verbatimLongitude","verbatimLatitude","verbatimElevation","verbatimCoordinateSystem","verbatimSRS","HUSO","occurrenceRemarks","datasetName","dynamicProperties"
"78",2425,"Animalia","Aves","Furnariidae","Geositta punensis","","Minero de la puna","Nativa","LC","Publicación","CEA","CEA- Quiborax","1996",NA,NA,"Surire","Salar","Parinacota","Arica y Parinacota","Putre","Publicado","69°09'O","18°50'S",4400,"","WGS84","19k","","","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"79",2433,"Animalia","Aves","Furnariidae","Geositta rufipennis","","Minero cordillerano","Nativa","LC","Publicación","ROC","R. Barros, F. Díaz, I. Azócar, R. Reyes, R. Tapia","2008",9,21,"Tacora","","Parinacota","Arica y Parinacota","General Lagos","Publicado","69° 42' 51.80""O","17° 46' 27.38""S",NA,"","WGS84","19k","Muestreo incidental","","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"80",2437,"Animalia","Aves","Furnariidae","Geositta rufipennis","","Minero cordillerano","Nativa","LC","Publicación","ROC","R. Barros, F. Díaz, I. Azócar, R. Reyes, R. Tapia","2008",9,20,"Cotani","Estepa","Parinacota","Arica y Parinacota","General Lagos","Publicado","69° 20' 51.48""O","17° 53' 56.53""S",NA,"","WGS84","19k","","","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"81",2439,"Animalia","Aves","Furnariidae","Geositta rufipennis","","Minero cordillerano","Nativa","LC","Publicación","ROC","R. Barros, F. Díaz, I. Azócar, R. Reyes, R. Tapia","2008",9,20,"Parinacota","Pueblo","Parinacota","Arica y Parinacota","Putre","Publicado","69° 16' 5.67""O","18° 12' 9.41""S",4430,"","WGS84","19k","","","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"82",2440,"Animalia","Aves","Furnariidae","Geositta rufipennis","","Minero cordillerano","Nativa","LC","Publicación","ROC","R. Barros, F. Díaz, I. Azócar, R. Reyes, R. Tapia","2008",9,23,"Surire","Salar","Parinacota","Arica y Parinacota","Putre","Publicado","69° 8' 21.10""O","18° 51' 6.74""S",NA,"","WGS84","19k","","","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"83",2452,"Animalia","Aves","Furnariidae","Leptasthenura aegithaloides","","Tijeral","Nativa","LC","Publicación","Aves de Chile (UNORCH)","","2009",10,NA,"Valle de Chaca","Desierto interior-matorral ripario de las quebradas y oasis","Arica","Arica y Parinacota","Arica","Publicado","70° 10'O","18° 48'S",290,"","WGS84","19k","Coordenadas corresponden a punto de muestreo indicado por la fuente","Estudio de Línea Base, Zonificación y Guía de Manejo de un Predio Fiscal, Sitio Prioritario para la Conservación de la Biodiversidad en la Quebrada de Chaca, Región de Arica y Parinacota","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"84",2544,"Animalia","Aves","Furnariidae","Leptasthenura striata ","","Tijeral listado","Nativa","LC","Publicación","CEA","CEA- Quiborax","1996",NA,NA,"Surire","Salar","Parinacota","Arica y Parinacota","Putre","Publicado","69°09'O","18°50'S",4400,"","WGS84","19k","","","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"85",2571,"Animalia","Aves","Furnariidae","Phleocryptes melanops","","Trabajador","Nativa","LC","Publicación","","TOMASEVIC JA & CF ESTADES","2004",4,3,"Arica","Desembocadura Río Lluta","Arica","Arica y Parinacota","Arica","Publicado","70°19' W","18°25'S",0,"","WGS84","19 K","","","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"86",2573,"Animalia","Aves","Furnariidae","Phleocryptes melanops","","Trabajador","Nativa","LC","Publicación","","TOMASEVIC JA & CF ESTADES","2004",4,10,"Valle de Lluta","Valle","Arica","Arica y Parinacota","Arica","Publicado","70°06'W","18°25'S",450,"","WGS84","19 K","","","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"87",2574,"Animalia","Aves","Furnariidae","Phleocryptes melanops","","Trabajador","Nativa","LC","Publicación","","TOMASEVIC JA & CF ESTADES","2004",4,4,"Cuya","Pajonal","Arica","Arica y Parinacota","Camarones","Publicado","70°06'W","19° 05'S",950,"","WGS84","19 K","","","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"88",2589,"Animalia","Aves","Furnariidae","Upucerthia jelskii","","Bandurrilla de la puna","Nativa","LC","Publicación","Aves de Chile (UNORCH)","","2009",10,NA,"Valle de Chaca","Desierto interior-matorral ripario de las quebradas y oasis","Arica","Arica y Parinacota","Arica","Publicado","70° 10'O","18° 48'S",290,"","WGS84","19k","Coordenadas corresponden a punto de muestreo indicado por la fuente","Estudio de Línea Base, Zonificación y Guía de Manejo de un Predio Fiscal, Sitio Prioritario para la Conservación de la Biodiversidad en la Quebrada de Chaca, Región de Arica y Parinacota","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"89",2609,"Animalia","Aves","Hirundinidae","Haplochelidon andecola","","Golondrina de los riscos","Nativa","LC","Publicación","CEA","CEA- Quiborax","1996",NA,NA,"Surire","Salar","Parinacota","Arica y Parinacota","Putre","Publicado","69°09'O","18°50'S",4400,"","WGS84","19k","","","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"90",2629,"Animalia","Aves","Hirundinidae","Hirundo rustica","","Golondrina bermeja","Nativa","LC","Publicación","Aves de Chile (UNORCH)","","2009",10,NA,"Valle de Chaca","Desierto interior-matorral ripario de las quebradas y oasis","Arica","Arica y Parinacota","Arica","Publicado","70° 10'O","18° 48'S",290,"","WGS84","19k","Coordenadas corresponden a punto de muestreo indicado por la fuente","Estudio de Línea Base, Zonificación y Guía de Manejo de un Predio Fiscal, Sitio Prioritario para la Conservación de la Biodiversidad en la Quebrada de Chaca, Región de Arica y Parinacota","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"91",2707,"Animalia","Aves","Hirundinidae","Notiochelidon cyanoleuca","","Golondrina barranquera","Nativa","LC","Publicación","Aves de Chile (UNORCH)","","2009",10,NA,"Valle de Chaca","Desierto interior-matorral ripario de las quebradas y oasis","Arica","Arica y Parinacota","Arica","Publicado","70° 10'O","18° 48'S",290,"","WGS84","19k","Coordenadas corresponden a punto de muestreo indicado por la fuente","Estudio de Línea Base, Zonificación y Guía de Manejo de un Predio Fiscal, Sitio Prioritario para la Conservación de la Biodiversidad en la Quebrada de Chaca, Región de Arica y Parinacota","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"92",2835,"Animalia","Aves","Hirundinidae","Notiochelidon cyanoleuca","","Golondrina barranquera","Nativa","LC","Publicación","CEA","CEA- Quiborax","1996",NA,NA,"Surire","Salar","Parinacota","Arica y Parinacota","Putre","Publicado","69°09'O","18°50'S",4400,"","WGS84","19k","","","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"93",2852,"Animalia","Aves","Hirundinidae","Progne elegans","","Golondrina negra","Nativa","LC","Publicación","Aves de Chile (UNORCH)","R. Peredo","2007",2,NA,"Arica","Desembocadura Río Lluta","Arica","Arica y Parinacota","Arica","Publicado","70° 19' 19.68""O","18° 25' 0.02""S",11,"","WGS84","19k","","","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"94",2981,"Animalia","Aves","Laridae","Chroicocephalus cirrocephalus","","Gaviota de capucho gris","Nativa","LC","Publicación","Aves de Chile (UNORCH)","R. Barros","2006",5,27,"Arica","Desembocadura Río Lluta","Arica","Arica y Parinacota","Arica","Publicado","70° 19' 19.68""O","18° 25' 0.02""S",11,"","WGS84","19k","","","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"95",3007,"Animalia","Aves","Laridae","Chroicocephalus serranus","","Gaviota andina","Nativa","VU","Publicación","CEA","CEA- Quiborax","1996",NA,NA,"Surire","Salar","Parinacota","Arica y Parinacota","Putre","Publicado","69°09'O","18°50'S",4400,"","WGS84","19k","","","iucnStatus:CAZA (DS 5/1998 MINAGRI),iucnStatusRemarks:"
"96",3069,"Animalia","Aves","Laridae","Sternula lorata","","Gaviotín chico","Nativa","EN","Publicación","","VILINA YA, PA SÁEZ, H COFRÉ & C GARÍN","2009",NA,NA,"Arica","","Arica","Arica y Parinacota","Arica","Publicado","70°18'W","18°27'S",100,"","WGS84","19 K","","Coordenadas mencionadas por la fuente","iucnStatus:RCE (DS 151/2007 MINSEGPRES),iucnStatusRemarks:"
"97",3072,"Animalia","Aves","Laridae","Thalasseus maximus","","Gaviotín real","Nativa","Sin clasificación","Publicación","Aves de Chile (UNORCH)","R. Peredo","2007",2,NA,"Arica","Desembocadura Río Lluta","Arica","Arica y Parinacota","Arica","Publicado","70° 19' 19.68""O","18° 25' 0.02""S",11,"","WGS84","19k","","",""
"98",3074,"Animalia","Aves","Laridae","Thalasseus sandvicensis","","Gaviotín de Sandwich","Nativa","Sin clasificación","Publicación","Aves de Chile (UNORCH)","R. Peredo","2007",2,NA,"Arica","Desembocadura Río Lluta","Arica","Arica y Parinacota","Arica","Publicado","70° 19' 19.68""O","18° 25' 0.02""S",11,"","WGS84","19k","","",""
"99",3077,"Animalia","Aves","Motacillidae","Anthus lutescens","","Bailarín chico peruano","Nativa","LC","Publicación","Aves de Chile (UNORCH)","R. Peredo","2007",2,NA,"Arica","Desembocadura Río Lluta","Arica","Arica y Parinacota","Arica","Publicado","70° 19' 19.68""O","18° 25' 0.02""S",11,"","WGS84","19k","","","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"100",3079,"Animalia","Aves","Pandionidae","Pandion haliaetus","","Águila pescadora","Nativa","VU","Publicación","Aves de Chile (UNORCH)","R. Peredo","2007",2,NA,"Arica","Desembocadura Río Lluta","Arica","Arica y Parinacota","Arica","Publicado","70° 19' 19.68""O","18° 25' 0.02""S",11,"","WGS84","19k","","","iucnStatus:CAZA (DS 5/1998 MINAGRI),iucnStatusRemarks:"
"101",3082,"Animalia","Aves","Parulidae","Setophaga ruticilla","","Candelita americana","Nativa","LC","Publicación","","ESCOBAR MAH","2004",4,7,"Camarones","","Arica","Arica y Parinacota","Camarones","Publicado","69°50'W","19°00'S",1200,"","WGS84","19 K","","Coordenadas mencionadas por la fuente del registro","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
