"","decimalLongitude","decimalLatitude","verbatimSRS","geodeticDatum","continent","country","countryCode","stateProvince","county","municipality","verbatimCoordinates"
"227",-70.0493321071859,-18.4326299890149,"unknown","unknown","","","","","","","-18.4326299890149 -70.0493321071859"
"228",-70.2039988757769,-18.7837546521025,"unknown","unknown","","","","","","","-18.7837546521025 -70.2039988757769"
"229",-69.9826440542553,-18.4021972462672,"unknown","unknown","","","","","","","-18.4021972462672 -69.9826440542553"
"230",-70.1625684782225,-19.1429095993328,"unknown","unknown","","","","","","","-19.1429095993328 -70.1625684782225"
"231",-70.223771222832,-18.5100046788446,"unknown","unknown","","","","","","","-18.5100046788446 -70.223771222832"
"232",-70.115966738467,-18.8372823492304,"unknown","unknown","","","","","","","-18.8372823492304 -70.115966738467"
"233",-69.9801677236485,-18.4012249758413,"unknown","unknown","","","","","","","-18.4012249758413 -69.9801677236485"
"234",-70.1546449437984,-19.1369324638588,"unknown","unknown","","","","","","","-19.1369324638588 -70.1546449437984"
"235",-70.0900949116488,-18.5587084423059,"unknown","unknown","","","","","","","-18.5587084423059 -70.0900949116488"
"236",-70.0371599321758,-18.581129135581,"unknown","unknown","","","","","","","-18.581129135581 -70.0371599321758"
"237",-70.2411496029341,-18.7744843251515,"unknown","unknown","","","","","","","-18.7744843251515 -70.2411496029341"
"238",-70.1726958107665,-19.1498572415817,"unknown","unknown","","","","","","","-19.1498572415817 -70.1726958107665"
"239",-70.1839138263779,-19.1549629448932,"unknown","unknown","","","","","","","-19.1549629448932 -70.1839138263779"
"240",-70.1747700323122,-19.1500608578449,"unknown","unknown","","","","","","","-19.1500608578449 -70.1747700323122"
"241",-70.2141723203461,-18.7788815002417,"unknown","unknown","","","","","","","-18.7788815002417 -70.2141723203461"
"242",-69.6855352912566,-19.1821515742557,"unknown","unknown","","","","","","","-19.1821515742557 -69.6855352912566"
"243",-69.6840249963655,-19.1826271337596,"unknown","unknown","","","","","","","-19.1826271337596 -69.6840249963655"
"244",-69.5921002412178,-19.0867460505837,"unknown","unknown","","","","","","","-19.0867460505837 -69.5921002412178"
"245",-69.5995649687176,-19.0927858822484,"unknown","unknown","","","","","","","-19.0927858822484 -69.5995649687176"
"246",-69.6030453113986,-19.0957206501134,"unknown","unknown","","","","","","","-19.0957206501134 -69.6030453113986"
"247",-70.1917913487221,-18.4068207547301,"unknown","unknown","","","","","","","-18.4068207547301 -70.1917913487221"
"248",-70.2324429756736,-18.4165107513858,"unknown","unknown","","","","","","","-18.4165107513858 -70.2324429756736"
"249",-70.0510292487861,-18.436126958569,"unknown","unknown","","","","","","","-18.436126958569 -70.0510292487861"
"250",-69.9358301856025,-18.3758186078366,"unknown","unknown","","","","","","","-18.3758186078366 -69.9358301856025"
"251",-70.1318130679941,-18.5456849689245,"unknown","unknown","","","","","","","-18.5456849689245 -70.1318130679941"
